id,full_name,join_date,Weight (kg),Height (m),Gender,Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Membership_Type
WUT-818,John Doe,15/01/2023,82.9,1.54,M,174,169,64,0.77,802,27.8,2.2,3,2
EHI-843,Jane Smith,20/05/2022,129.4,1.5,Female,177,145,71,,772,22,1.7,5,2
PCX-201,Peter Jones,10/02/2023,112.4,1.71,Male,177,165,55,1.56,1044,33.5,1.7,2,3
SIP-244,Susan Miller,22/03/2023,40,1.72,f,188,155,74,1.51,1266,26.4,2.5,2,1
IRZ-078,Ian Robinson,30/11/2021,73.7,1.78,Male,192,154,73,1.18,851,27.4,2.6,2,2
ZFG-292,Zoe Foster,01/04/2023,84,1.71,,194,148,52,0.92,621,28.3,3.4,3,1
XGQ-119,Xavi Gomez,05/05/2023,42.8,1.89,M,194,162,73,2,736,22.5,1.5,3,3
ZHQ-556,Hannah Baker,12/06/2023,40,1.64,Female,177,134,53,0.98,468,25.6,2.1,3,3
LPR-864,Leo King,09/09/2020,,1.8,m,197,165,56,0.74,1208,26.1,3.3,3,3
NCA-109,Nora Charles,01/07/2023,56.9,1.77,f,183,131,57,1.28,1052,20.7,3.5,4,1
XKV-496,Victor Stone,18/08/2022,67.5,1.69,Male,177,169,72,1.07,975,,1.6,4,2
FCG-941,Frank Castle,12/12/2021,69.8,1.82,Male,178,168,58,1.9,963,31.4,3.7,5,2
VGD-834,Vicky Vale,20/01/2023,79.2,1.77,Female,198,137,66,1.2,1429,12.9,3.7,3,1
TPO-332,Tom Prince,10/10/2022,95,1.95,M,160,140,60,1.5,950,25.2,3.1,4,1
QAL-111,Quinn Fabray,11/11/2022,65,1.6,F,185,155,68,1,750,23.1,2,5,1
RTM-745,Rachel Green,15/03/2023,62.5,1.65,Female,190,162,70,0.8,680,21.5,2.5,3,2
GFT-555,George Feeny,01/02/2020,88,1.75,,170,130,75,2.1,1100,29.8,2.8,2,1
BCE-219,Bruce Wayne,01/05/2019,92,1.88,Male,195,160,55,1.8,1300,18.2,4,6,1
AMP-909,Arthur Curry,21/07/2021,99,1.85,m,188,158,62,,1250,20.1,3.9,5,2
CLP-231,Clark Kent,15/01/2018,105,1.91,Male,200,170,50,2.5,1500,15.5,4.5,7,2
