Descriptores de cuentas usados en reporte MB1

Periodo: Año 2023 - Mes: Abril

CUENTA	GLOSA
100000000	TOTAL ACTIVOS
105000000	EFECTIVO Y DEPÓSITOS EN BANCOS
105000100	          Efectivo      
105000101	               Efectivo en oficinas                                                                                
105000102	               Efectivo en empresas transportadoras de valores                                                  
105000103	               Efectivo en custodia en otras entidades financieras     
105000200	           Depósitos en el Banco Central de Chile        
105000201	               Depósitos en cuenta corriente                                                                       
105000202	               Depósitos overnight                        
105000209	               Otros depósitos disponibles     
105000300	           Depósitos en Bancos Centrales del exterior 
105000301	               Depósitos en cuenta corriente                                                                       
105000302	               Depósitos overnight                                                                                 
105000309	               Otros depósitos disponibles             
105000400	           Depósitos en bancos del país      
105000500	           Depósitos en bancos del exterior      
107000000	OPERACIONES CON LIQUIDACION EN CURSO
107000100	           Documentos a cargo de otros bancos (canje)
107000101	               Canje no deducible
107000102	               Canje de la plaza
107000103	               Canje de otras plazas
107000200	           Transferencias de fondos en curso con una contraparte central
107000201	               Fondos pendientes de transferencia por operaciones en la cámara de swaps     
107000202	               Fondos pendientes de transferencia por operaciones en la cámara de forwards
107000300	           Transferencias de fondos en curso a través de una cámara de compensación de alto valor
107000400	           Otras transferencias de fondos en curso con Bancos u Otros
107000401	               Pagos de contrapartes por liquidar - Bancos
107000409	               Divisas pendientes de transferencia - Bancos
107000411	               Pagos de contrapartes por liquidar - Otros
107000419	               Divisas pendientes de transferencia - Otros
110000000	ACTIVOS FINANCIEROS PARA NEGOCIAR A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
111000100	           Contratos de derivados financieros
111000101	               Forwards
111000102	               Swaps
111000103	               Opciones Call
111000104	               Opciones Put
111000105	               Futuros
111000109	               Otros
112000000	     Instrumentos financieros de deuda
112000100	           Del Estado y Banco Central de Chile
112000101	               Instrumentos financieros de deuda del Banco Central de Chile
112000102	               Bonos y pagarés de la Tesorería General de la República
112000109	               Otros instrumentos financieros de deuda fiscales
112000200	           Otros instrumentos financieros de deuda emitidos en el país
112000201	               Instrumentos financieros de deuda de otros bancos del país
112000202	               Bonos y efectos de comercio de empresas del país
112000209	               Otros instrumentos financieros de deuda emitidos en el país
112000300	           Instrumentos financieros de deuda emitidos en el exterior
112000301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
112000302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
112000303	               Instrumentos financieros de deuda de otros bancos en el exterior
112000304	               Bonos y efectos de comercio de empresas en el exterior
112000309	               Otros instrumentos financieros de deuda emitidos en el exterior
113000000	     Otros instrumentos financieros
113000100	           Inversiones en Fondos Mutuos
113000101	               Fondos mutuos administrados por sociedades relacionadas
113000102	               Fondos mutuos administrados por terceros
113000200	           Instrumentos de patrimonio
113000201	               Instrumentos de patrimonio en el país
113000202	               Instrumentos de patrimonio en el exterior
113000300	           Créditos originados y adquiridos por la entidad
113000301	               Adeudado por bancos
113000302	               Colocaciones comerciales
113000303	               Colocaciones para vivienda
113000304	               Colocaciones de consumo
113000400	           Otros
115000000	ACTIVOS FINANCIEROS NO DESTINADOS A NEGOCIACIÓN VALORADOS OBLIGATORIAMENTE A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
115250000	     Instrumentos financieros de deuda
115250100	           Del Estado y Banco Central de Chile
115250101	               Instrumentos financieros de deuda del Banco Central de Chile
115250102	               Bonos y pagarés de la Tesorería General de la República
115250109	               Otros instrumentos financieros de deuda fiscales
115250200	           Otros instrumentos financieros de deuda emitidos en el país
115250201	               Instrumentos financieros de deuda de otros bancos del país
115250202	               Bonos y efectos de comercio de empresas del país
115250209	               Otros instrumentos financieros de deuda emitidos en el país
115250300	           Instrumentos financieros de deuda emitidos en el exterior
115250301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
115250302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
115250303	               Instrumentos financieros de deuda de otros bancos en el exterior
115250304	               Bonos y efectos de comercio de empresas en el exterior
115250309	               Otros instrumentos financieros de deuda emitidos en el exterior
115500000	     Otros instrumentos financieros
115500100	           Inversiones en Fondos Mutuos
115500101	               Fondos mutuos administrados por sociedades relacionadas
115500102	               Fondos mutuos administrados por terceros
115500300	           Créditos originados y adquiridos por la entidad
115500301	               Adeudado por bancos
115500302	               Colocaciones comerciales
115500303	               Colocaciones para vivienda
115500304	               Colocaciones de consumo
115500400	           Otros
118000000	ACTIVOS FINANCIEROS DESIGNADOS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS
118250000	     Instrumentos financieros de deuda
118250100	          Del Estado y Banco Central de Chile
118250101	               Instrumentos financieros de deuda del Banco Central de Chile
118250102	               Bonos y pagarés de la Tesorería General de la República
118250109	               Otros instrumentos financieros de deuda fiscales
118250200	          Otros instrumentos financieros de deuda emitidos en el país
118250201	               Instrumentos financieros de deuda de otros bancos del país
118250202	               Bonos y efectos de comercio de empresas del país
118250209	               Otros instrumentos financieros de deuda emitidos en el país
118250300	          Instrumentos financieros de deuda emitidos en el exterior
118250301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
118250302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
118250303	               Instrumentos financieros de deuda de otros bancos en el exterior
118250304	               Bonos y efectos de comercio de empresas en el exterior
118250309	               Otros instrumentos financieros de deuda emitidos en el exterior
118500000	     Otros instrumentos financieros
118500300	          Créditos originados y adquiridos por la entidad
118500301	               Adeudado por bancos
118500302	               Colocaciones comerciales
118500303	               Colocaciones para vivienda
118500304	               Colocaciones de consumo
118500400	          Otros
120000000	ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN OTRO RESULTADO INTEGRAL
122000000	     Instrumentos financieros de deuda
122000100	          Del Estado y Banco Central de Chile
122000101	               Instrumentos financieros de deuda del Banco Central de Chile
122000102	               Bonos y pagarés de la Tesorería General de la República
122000109	               Otros instrumentos financieros de deuda fiscales
122000200	          Otros instrumentos financieros de deuda emitidos en el país
122000201	               Instrumentos financieros de deuda de otros bancos del país          
122000202	               Bonos y efectos de comercio de empresas del país
122000209	               Otros instrumentos financieros de deuda emitidos en el país
122000300	          Instrumentos financieros de deuda emitidos en el exterior
122000301	               Instrumentos financieros de deuda de Bancos Centrales en el exterior
122000302	               Instrumentos financieros de deuda de Gobiernos extranjeros y entidades fiscales en el exterior
122000303	               Instrumentos financieros de deuda de otros bancos en el exterior
122000304	               Bonos y efectos de comercio de empresas en el exterior
122000309	               Otros instrumentos financieros de deuda emitidos en el exterior
123000000	     Otros instrumentos financieros
123000300	          Créditos originados y adquiridos por la entidad
123000301	               Adeudado por bancos
123000302	               Colocaciones comerciales
123000303	               Colocaciones para vivienda
123000304	               Colocaciones de consumo
123000400	          Otros
130000000	CONTRATOS DE DERIVADOS FINANCIEROS PARA COBERTURA CONTABLE
130000100	          Contratos de derivados financieros para cobertura contable
130000101	               Forwards
130000102	               Swaps
130000103	               Opciones Call
130000104	               Opciones Put
130000105	               Futuros
130000190	               Otros
140000000	ACTIVOS FINANCIEROS A COSTO AMORTIZADO
141000000	     Derechos por pactos de retroventa y prestamos de valores
141000100	          Operaciones con bancos del país
141000101	               Contratos de retroventa con otros bancos
141000102	               Contratos de retroventa con Banco Central de Chile
141000103	               Derechos por préstamos de valores
